iteration,before,after,diff
0,667498602,667499147,545
1,667520112,667520156,44
2,667520586,667520606,20
3,667520857,667520876,19
4,667521079,667521100,21
5,667521306,667521326,20
6,667521531,667521550,19
7,667521754,667521773,19
8,667521979,667521998,19
9,667522224,667522243,19
10,667522451,667522469,18
11,667522715,667522735,20
12,667522938,667522957,19
13,667523167,667523186,19
14,667523391,667523411,20
15,667523620,667523639,19
16,667523844,667523864,20
17,667524067,667524086,19
18,667524296,667524316,20
19,667524523,667524542,19
20,667524748,667524766,18
21,667524976,667524996,20
22,667525206,667525224,18
23,667525433,667525453,20
24,667525661,667525681,20
25,667525888,667525908,20
26,667526115,667526133,18
27,667526343,667526362,19
28,667526566,667526585,19
29,667526796,667526814,18
30,667527024,667527044,20
31,667527247,667527267,20
32,667527473,667527493,20
33,667527699,667527719,20
34,667527923,667527941,18
35,667528152,667528171,19
36,667528376,667528396,20
37,667528605,667528625,20
38,667528828,667528848,20
39,667529056,667529075,19
40,667529280,667529298,18
41,667529501,667529521,20
42,667529725,667529745,20
43,667529949,667529967,18
44,667530177,667530196,19
45,667530401,667530420,19
46,667530626,667530644,18
47,667530849,667530869,20
48,667531075,667531094,19
49,667531301,667531320,19
50,667531527,667531546,19
51,667531755,667531773,18
52,667531978,667531996,18
53,667532201,667532221,20
54,667532425,667532444,19
55,667532649,667532668,19
56,667532873,667532893,20
57,667533097,667533117,20
58,667533322,667533340,18
59,667533546,667533565,19
60,667533770,667533789,19
61,667533995,667534014,19
62,667534219,667534239,20
63,667534443,667534462,19
64,667534668,667534687,19
65,667534891,667534911,20
66,667535117,667535136,19
67,667535347,667535366,19
68,667535571,667535590,19
69,667535794,667535814,20
70,667536020,667536038,18
71,667536244,667536263,19
72,667536496,667536513,17
73,667536719,667536739,20
74,667536943,667536962,19
75,667537169,667537189,20
76,667537393,667537412,19
77,667537623,667537641,18
78,667537848,667537866,18
79,667538071,667538091,20
80,667538301,667538321,20
81,667538525,667538544,19
82,667538750,667538769,19
83,667538974,667538993,19
84,667539199,667539218,19
85,667539424,667539442,18
86,667539648,667539668,20
87,667539872,667539892,20
88,667540097,667540115,18
89,667540322,667540341,19
90,667540551,667540571,20
91,667540777,667540795,18
92,667541000,667541020,20
93,667541225,667541244,19
94,667541450,667541469,19
95,667541679,667541698,19
96,667541904,667541924,20
97,667542130,667542148,18
98,667542355,667542373,18
99,667542584,667542603,19
100,667542809,667542829,20
101,667543072,667543091,19
102,667543309,667543329,20
103,667543537,667543556,19
104,667543763,667543782,19
105,667543988,667544008,20
106,667544216,667544235,19
107,667544446,667544466,20
108,667544681,667544701,20
109,667544909,667544928,19
110,667545140,667545159,19
111,667545366,667545385,19
112,667545592,667545611,19
113,667545821,667545841,20
114,667546053,667546073,20
115,667546281,667546300,19
116,667546508,667546527,19
117,667546733,667546753,20
118,667546962,667546982,20
119,667547189,667547209,20
120,667547420,667547439,19
121,667547646,667547665,19
122,667547878,667547897,19
123,667548104,667548125,21
124,667548335,667548355,20
125,667548560,667548580,20
126,667548786,667548805,19
127,667549018,667549037,19
128,667549243,667549262,19
129,667549474,667549493,19
130,667549733,667549753,20
131,667549958,667549978,20
132,667550189,667550209,20
133,667550414,667550434,20
134,667550646,667550665,19
135,667550872,667550892,20
136,667551096,667551115,19
137,667551327,667551345,18
138,667551558,667551577,19
139,667551788,667551808,20
140,667552013,667552033,20
141,667552239,667552258,19
142,667552470,667552489,19
143,667552695,667552714,19
144,667552952,667552971,19
145,667553179,667553197,18
146,667553408,667553427,19
147,667553638,667553657,19
148,667553869,667553888,19
149,667554096,667554116,20
150,667554326,667554346,20
151,667554550,667554570,20
152,667554778,667554797,19
153,667555007,667555025,18
154,667555231,667555251,20
155,667575301,667575327,26
156,667575578,667575597,19
157,667575809,667575829,20
158,667576042,667576061,19
159,667576277,667576296,19
160,667576508,667576527,19
161,667576738,667576758,20
162,667576968,667576988,20
163,667577197,667577216,19
164,667577427,667577447,20
165,667577653,667577673,20
166,667577880,667577900,20
167,667578110,667578130,20
168,667578338,667578358,20
169,667578566,667578586,20
170,667578791,667578811,20
171,667579017,667579036,19
172,667579242,667579262,20
173,667579468,667579486,18
174,667579698,667579718,20
175,667579928,667579947,19
176,667580156,667580176,20
177,667580384,667580404,20
178,667580614,667580634,20
179,667580839,667580858,19
180,667581064,667581084,20
181,667581289,667581308,19
182,667581520,667581540,20
183,667581749,667581768,19
184,667581975,667581994,19
185,667582199,667582219,20
186,667582429,667582449,20
187,667582654,667582674,20
188,667582880,667582900,20
189,667583106,667583125,19
190,667583334,667583354,20
191,667583564,667583584,20
192,667583790,667583808,18
193,667584014,667584034,20
194,667584239,667584258,19
195,667584463,667584482,19
196,667584688,667584707,19
197,667584913,667584933,20
198,667585139,667585158,19
199,667585364,667585383,19
200,667585589,667585608,19
201,667585815,667585834,19
202,667586045,667586065,20
203,667586270,667586289,19
204,667586498,667586517,19
205,667586728,667586748,20
206,667586961,667586979,18
207,667587187,667587207,20
208,667587413,667587431,18
209,667587640,667587658,18
210,667587864,667587884,20
211,667588094,667588113,19
212,667588321,667588340,19
213,667588547,667588567,20
214,667588780,667588799,19
215,667589005,667589025,20
216,667589235,667589254,19
217,667589466,667589485,19
218,667589698,667589717,19
219,667589929,667589948,19
220,667590161,667590179,18
221,667590390,667590410,20
222,667590622,667590641,19
223,667590847,667590866,19
224,667591075,667591095,20
225,667591301,667591321,20
226,667591530,667591549,19
227,667591760,667591779,19
228,667591992,667592011,19
229,667592222,667592242,20
230,667592448,667592467,19
231,667592672,667592691,19
232,667592924,667592942,18
233,667593149,667593168,19
234,667593379,667593398,19
235,667593604,667593623,19
236,667593834,667593854,20
237,667594064,667594084,20
238,667594293,667594312,19
239,667594524,667594542,18
240,667594757,667594775,18
241,667594987,667595006,19
242,667595213,667595232,19
243,667595443,667595463,20
244,667595673,667595691,18
245,667595897,667595916,19
246,667596131,667596151,20
247,667596359,667596378,19
248,667596589,667596609,20
249,667596815,667596834,19
250,667597045,667597063,18
251,667597275,667597295,20
252,667597504,667597522,18
253,667597731,667597750,19
254,667597956,667597974,18
255,667598180,667598199,19
256,667598406,667598424,18
257,667598630,667598649,19
258,667598855,667598875,20
259,667599080,667599100,20
260,667599310,667599329,19
261,667599535,667599554,19
262,667599761,667599781,20
263,667599986,667600005,19
264,667600214,667600234,20
265,667600439,667600458,19
266,667600667,667600686,19
267,667600901,667600921,20
268,667601125,667601145,20
269,667601350,667601370,20
270,667601581,667601600,19
271,667601806,667601825,19
272,667602031,667602050,19
273,667602255,667602275,20
274,667602481,667602500,19
275,667602710,667602729,19
276,667602936,667602955,19
277,667603165,667603185,20
278,667603392,667603411,19
279,667603623,667603641,18
280,667603847,667603867,20
281,667604074,667604093,19
282,667604304,667604324,20
283,667604537,667604556,19
284,667604768,667604787,19
285,667605000,667605019,19
286,667605232,667605251,19
287,667605463,667605483,20
288,667605689,667605709,20
289,667605917,667605935,18
290,667606147,667606166,19
291,667606379,667606398,19
292,667606606,667606625,19
293,667606831,667606851,20
294,667607063,667607082,19
295,667607296,667607315,19
296,667607530,667607549,19
297,667607756,667607775,19
298,667607982,667608001,19
299,667608211,667608231,20
300,667608441,667608460,19
301,667608670,667608688,18
302,667608896,667608915,19
303,667609126,667609146,20
304,667609353,667609373,20
305,667609584,667609604,20
306,667609811,667609830,19
307,667616314,667616341,27
308,667616576,667616595,19
309,667616808,667616828,20
310,667617042,667617060,18
311,667617275,667617294,19
312,667617505,667617524,19
313,667617734,667617754,20
314,667617960,667617980,20
315,667618189,667618209,20
316,667618415,667618434,19
317,667618642,667618661,19
318,667618869,667618889,20
319,667619096,667619115,19
320,667619322,667619341,19
321,667619554,667619573,19
322,667619777,667619796,19
323,667620002,667620022,20
324,667620231,667620251,20
325,667620456,667620475,19
326,667620683,667620702,19
327,667620907,667620927,20
328,667621136,667621157,21
