iteration,before,after,diff
0,650532935,650533017,82
1,650543824,650543851,27
2,650544138,650544158,20
3,650544397,650544416,19
4,650544618,650544637,19
5,650544837,650544857,20
6,650545055,650545073,18
7,650545273,650545292,19
8,650545492,650545511,19
9,650545711,650545729,18
10,650545932,650545949,17
11,650546182,650546202,20
12,650546402,650546421,19
13,650546621,650546641,20
14,650546840,650546858,18
15,650547062,650547081,19
16,650547283,650547301,18
17,650547503,650547522,19
18,650547723,650547743,20
19,650547945,650547964,19
20,650548167,650548186,19
21,650548387,650548405,18
22,650548608,650548625,17
23,650548829,650548848,19
24,650549049,650549067,18
25,650549270,650549287,17
26,650549487,650549506,19
27,650549707,650549725,18
28,650549926,650549945,19
29,650550146,650550165,19
30,650550369,650550387,18
31,650550589,650550608,19
32,650550808,650550826,18
33,650551027,650551045,18
34,650551248,650551265,17
35,650551467,650551487,20
36,650551687,650551704,17
37,650551907,650551926,19
38,650552125,650552143,18
39,650552345,650552364,19
40,650552566,650552584,18
41,650552785,650552803,18
42,650553003,650553021,18
43,650553222,650553241,19
44,650553441,650553460,19
45,650553661,650553680,19
46,650553882,650553900,18
47,650554100,650554120,20
48,650554319,650554338,19
49,650554539,650554558,19
50,650554759,650554776,17
51,650554978,650554995,17
52,650555196,650555215,19
53,650555415,650555434,19
54,650555634,650555654,20
55,650555855,650555874,19
56,650556073,650556092,19
57,650556293,650556312,19
58,650556513,650556530,17
59,650556731,650556749,18
60,650556949,650556968,19
61,650557169,650557187,18
62,650557388,650557406,18
63,650557631,650557651,20
64,650557851,650557870,19
65,650558069,650558087,18
66,650558287,650558306,19
67,650558506,650558524,18
68,650558723,650558743,20
69,650558944,650558963,19
70,650559162,650559181,19
71,650559381,650559401,20
72,650559600,650559618,18
73,650559821,650559839,18
74,650560039,650560058,19
75,650560258,650560276,18
76,650560478,650560497,19
77,650560696,650560715,19
78,650560917,650560936,19
79,650561136,650561154,18
80,650561355,650561375,20
81,650561574,650561592,18
82,650561793,650561812,19
83,650562011,650562030,19
84,650562233,650562251,18
85,650562450,650562470,20
86,650562670,650562688,18
87,650562889,650562907,18
88,650563108,650563127,19
89,650563327,650563346,19
90,650563546,650563564,18
91,650563765,650563783,18
92,650563984,650564003,19
93,650564203,650564221,18
94,650564421,650564440,19
95,650564640,650564660,20
96,650564860,650564879,19
97,650565079,650565097,18
98,650565298,650565317,19
99,650565517,650565535,18
100,650565735,650565754,19
101,650565986,650566005,19
102,650566207,650566225,18
103,650566426,650566445,19
104,650566646,650566665,19
105,650566867,650566885,18
106,650567087,650567106,19
107,650567308,650567327,19
108,650567527,650567546,19
109,650567747,650567766,19
110,650567969,650567987,18
111,650568188,650568207,19
112,650568408,650568427,19
113,650568628,650568647,19
114,650568850,650568867,17
115,650569068,650569087,19
116,650569290,650569309,19
117,650569511,650569530,19
118,650569731,650569750,19
119,650569953,650569972,19
120,650570174,650570192,18
121,650570393,650570412,19
122,650570639,650570659,20
123,650570861,650570879,18
124,650571081,650571099,18
125,650571301,650571321,20
126,650571522,650571541,19
127,650571742,650571760,18
128,650571963,650571983,20
129,650572183,650572203,20
130,650572407,650572425,18
131,650572629,650572648,19
132,650572849,650572868,19
133,650573076,650573095,19
134,650573297,650573316,19
135,650573518,650573535,17
136,650573738,650573757,19
137,650573964,650573982,18
138,650574183,650574202,19
139,650574404,650574423,19
140,650574625,650574643,18
141,650574846,650574863,17
142,650575066,650575084,18
143,650575286,650575305,19
144,650575507,650575526,19
145,650575727,650575746,19
146,650575948,650575967,19
147,650576168,650576187,19
148,650576390,650576407,17
149,650576610,650576628,18
150,650576830,650576849,19
151,650577049,650577069,20
152,650577271,650577289,18
153,650577492,650577510,18
154,650577712,650577730,18
155,650591498,650591524,26
156,650591896,650591914,18
157,650592121,650592140,19
158,650592348,650592368,20
159,650592571,650592590,19
160,650592792,650592810,18
161,650593012,650593030,18
162,650593233,650593252,19
163,650593453,650593471,18
164,650593672,650593690,18
165,650593893,650593911,18
166,650594112,650594132,20
167,650594335,650594353,18
168,650594556,650594574,18
169,650594777,650594794,17
170,650594998,650595017,19
171,650595219,650595238,19
172,650595440,650595459,19
173,650595660,650595679,19
174,650595883,650595902,19
175,650596103,650596123,20
176,650596325,650596344,19
177,650596545,650596562,17
178,650596765,650596785,20
179,650596986,650597004,18
180,650597205,650597224,19
181,650597425,650597444,19
182,650597647,650597664,17
183,650597866,650597884,18
184,650598087,650598106,19
185,650598308,650598327,19
186,650598532,650598551,19
187,650598752,650598770,18
188,650598972,650598992,20
189,650599194,650599213,19
190,650599414,650599432,18
191,650599634,650599653,19
192,650599856,650599874,18
193,650600076,650600094,18
194,650600296,650600315,19
195,650600519,650600537,18
196,650600739,650600757,18
197,650600959,650600978,19
198,650601180,650601198,18
199,650601402,650601421,19
200,650601624,650601644,20
201,650601846,650601865,19
202,650602067,650602086,19
203,650602290,650602308,18
204,650602510,650602529,19
205,650602732,650602750,18
206,650602956,650602975,19
207,650603175,650603196,21
208,650603399,650603417,18
209,650603620,650603638,18
210,650603840,650603858,18
211,650604063,650604081,18
212,650604286,650604304,18
213,650604507,650604527,20
214,650604729,650604747,18
215,650604949,650604968,19
216,650605169,650605188,19
217,650605391,650605410,19
218,650605612,650605631,19
219,650605834,650605853,19
220,650606054,650606073,19
221,650606275,650606294,19
222,650606496,650606514,18
223,650606718,650606737,19
224,650606937,650606957,20
225,650607159,650607177,18
226,650607379,650607399,20
227,650607600,650607619,19
228,650607837,650607856,19
229,650608059,650608078,19
230,650608282,650608301,19
231,650608504,650608522,18
232,650608725,650608745,20
233,650608947,650608965,18
234,650609168,650609187,19
235,650609390,650609409,19
236,650609610,650609629,19
237,650609831,650609850,19
238,650610051,650610070,19
