iteration,before,after,diff
0,577438968,577439322,354, 0
1,577448727,577448789,62, 0
2,577449176,577449208,32, 0
3,577449488,577449519,31, 0
4,577449766,577449799,33, 0
5,577450037,577450071,34, 0
6,577450307,577450341,34, 0
7,577450582,577450614,32, 0
8,577450851,577450882,31, 0
9,577451119,577451151,32, 0
10,577451391,577451423,32, 0
11,577451687,577451720,33, 0
12,577451955,577451989,34, 0
13,577452224,577452257,33, 0
14,577452524,577452556,32, 0
15,577452794,577452827,33, 0
16,577453063,577453096,33, 0
17,577453334,577453366,32, 0
18,577453602,577453635,33, 0
19,577453870,577453903,33, 0
20,577454141,577454174,33, 0
21,577454412,577454444,32, 0
22,577454682,577454715,33, 0
23,577454950,577454983,33, 0
24,577455218,577455251,33, 0
25,577455485,577455518,33, 0
26,577455753,577455786,33, 0
27,577456021,577456053,32, 0
28,577456289,577456320,31, 0
29,577456556,577456589,33, 0
30,577456823,577456857,34, 0
31,577457092,577457125,33, 0
32,577457363,577457395,32, 0
33,577457631,577457665,34, 0
34,577457901,577457934,33, 0
35,577458168,577458201,33, 0
36,577458439,577458471,32, 0
37,577458709,577458741,32, 0
38,577458982,577459015,33, 0
39,577459252,577459284,32, 0
40,577459520,577459552,32, 0
41,577459786,577459819,33, 0
42,577460055,577460088,33, 0
43,577460323,577460355,32, 0
44,577460590,577460623,33, 0
45,577460857,577460890,33, 0
46,577461125,577461157,32, 0
47,577461393,577461426,33, 0
48,577461660,577461693,33, 0
49,577461927,577461960,33, 0
50,577462197,577462228,31, 0
51,577462464,577462496,32, 0
52,577462731,577462764,33, 0
53,577462998,577463030,32, 0
54,577463268,577463300,32, 0
55,577463535,577463567,32, 0
56,577463803,577463836,33, 0
57,577464071,577464103,32, 0
58,577464337,577464370,33, 0
59,577464603,577464637,34, 0
60,577464870,577464903,33, 0
61,577465137,577465170,33, 0
62,577465406,577465437,31, 0
63,577465673,577465705,32, 0
64,577465940,577465973,33, 0
65,577466206,577466240,34, 0
66,577466475,577466507,32, 0
67,577466743,577466777,34, 0
68,577467012,577467044,32, 0
69,577467280,577467314,34, 0
70,577467548,577467581,33, 0
71,577467817,577467851,34, 0
72,577468084,577468118,34, 0
73,577468351,577468385,34, 0
74,577468619,577468652,33, 0
75,577468886,577468919,33, 0
76,577469152,577469185,33, 0
77,577469441,577469474,33, 0
78,577469710,577469740,30, 0
79,577469976,577470009,33, 0
80,577470243,577470276,33, 0
81,577470511,577470544,33, 0
82,577470779,577470812,33, 0
