iteration,before,after,diff
0,579405108,579412434,7326
1,579436959,579439654,2695
2,579439982,579441976,1994
3,579442199,579443769,1570
4,579443988,579445561,1573
5,579445797,579447376,1579
6,579447607,579449174,1567
7,579449419,579450990,1571
8,579451203,579452833,1630
9,579453049,579454645,1596
10,579454864,579456435,1571
11,579456691,579458274,1583
12,579458492,579460076,1584
13,579460290,579461863,1573
14,579462078,579463654,1576
15,579463869,579465451,1582
16,579465665,579467243,1578
17,579467458,579469035,1577
18,579469251,579470832,1581
19,579471047,579472631,1584
20,579472848,579474414,1566
21,579474630,579476205,1575
22,579476420,579477998,1578
23,579478218,579479790,1572
24,579480002,579481571,1569
25,579481786,579483353,1567
26,579483576,579485151,1575
27,579485366,579486940,1574
28,579487155,579488730,1575
29,579488945,579490524,1579
30,579490738,579492321,1583
31,579492559,579494131,1572
32,579494346,579495925,1579
33,579496141,579497716,1575
34,579497933,579499511,1578
35,579499726,579501360,1634
36,579501574,579505906,4332
37,579506157,579507750,1593
38,579507967,579509544,1577
39,579509758,579511329,1571
40,579511545,579513119,1574
41,579513334,579514908,1574
42,579515124,579516693,1569
43,579516909,579518481,1572
44,579518699,579520273,1574
45,579520489,579522059,1570
46,579522277,579523848,1571
47,579524066,579525648,1582
48,579525864,579527437,1573
49,579527655,579529226,1571
50,579529446,579531015,1569
51,579531231,579532805,1574
52,579533025,579534601,1576
53,579534817,579536389,1572
54,579536607,579538187,1580
55,579538402,579539976,1574
56,579540196,579541770,1574
57,579541987,579543552,1565
58,579543767,579545333,1566
59,579545548,579547124,1576
60,579547339,579548911,1572
61,579549128,579550705,1577
62,579550919,579552487,1568
63,579552703,579554271,1568
64,579554486,579556067,1581
65,579556282,579557854,1572
66,579558069,579559650,1581
67,579559867,579561444,1577
68,579561662,579563234,1572
69,579563453,579565034,1581
70,579565250,579566828,1578
71,579567046,579568622,1576
72,579568839,579570408,1569
73,579570627,579572207,1580
74,579572430,579574000,1570
75,579574223,579575799,1576
76,579576014,579577584,1570
77,579577802,579579378,1576
78,579579591,579581197,1606
79,579581414,579585820,4406
80,579586073,579587663,1590
81,579587884,579589466,1582
82,579589685,579591264,1579
83,579591480,579593055,1575
84,579593271,579594850,1579
85,579595066,579596648,1582
86,579596864,579598432,1568
87,579598650,579600220,1570
88,579600439,579602012,1573
89,579602228,579603799,1571
90,579604019,579605586,1567
