iteration,before,after,diff
0,597289217,597296031,6814
1,597302051,597304062,2011
2,597304436,597306034,1598
3,597306249,597307816,1567
4,597308031,597309594,1563
5,597309815,597311388,1573
6,597311602,597313171,1569
7,597313389,597314963,1574
8,597315177,597316752,1575
9,597316971,597318550,1579
10,597318767,597320350,1583
11,597320604,597322182,1578
12,597322397,597323964,1567
13,597324185,597325757,1572
14,597325975,597327547,1572
15,597327762,597329339,1577
16,597329556,597331127,1571
17,597331348,597332917,1569
18,597333133,597334702,1569
19,597334919,597336484,1565
20,597336698,597338263,1565
21,597338482,597340047,1565
22,597340260,597341832,1572
23,597342047,597343612,1565
24,597343828,597345401,1573
25,597345616,597347188,1572
26,597347402,597349139,1737
27,597349354,597350950,1596
28,597351166,597352737,1571
29,597352955,597354578,1623
30,597354795,597356378,1583
31,597356596,597358534,1938
32,597358756,597360328,1572
33,597360545,597362116,1571
34,597362330,597363899,1569
35,597364117,597365728,1611
36,597365946,597370065,4119
37,597370316,597371903,1587
38,597372121,597373688,1567
39,597373903,597375471,1568
40,597375687,597377259,1572
41,597377480,597379048,1568
42,597379263,597380833,1570
43,597381047,597382619,1572
44,597382835,597384400,1565
45,597384616,597386190,1574
46,597386407,597387980,1573
47,597388196,597389772,1576
48,597389986,597391558,1572
49,597391775,597393348,1573
50,597393563,597395132,1569
51,597395349,597396917,1568
52,597397133,597398699,1566
53,597398916,597400485,1569
54,597400703,597402268,1565
55,597402483,597404050,1567
56,597404264,597405825,1561
57,597406043,597407607,1564
58,597407823,597409391,1568
59,597409606,597411175,1569
60,597411391,597412960,1569
61,597413179,597414751,1572
62,597414965,597416539,1574
63,597416755,597418323,1568
64,597418539,597420111,1572
65,597420348,597421914,1566
66,597422132,597423704,1572
67,597423920,597425488,1568
68,597425704,597427270,1566
69,597427487,597429057,1570
70,597429273,597430841,1568
71,597431054,597432622,1568
72,597432838,597434402,1564
73,597434616,597436182,1566
74,597436397,597437965,1568
75,597438181,597439748,1567
76,597439963,597441540,1577
77,597441754,597443342,1588
78,597443557,597445185,1628
79,597445401,597449402,4001
80,597449651,597451244,1593
81,597451466,597453042,1576
82,597453258,597454836,1578
83,597455049,597456626,1577
84,597456841,597458412,1571
85,597458630,597460199,1569
86,597460420,597461984,1564
87,597462204,597463770,1566
88,597463991,597465585,1594
89,597465802,597467371,1569
90,597467584,597469148,1564
91,597469361,597470927,1566
92,597471142,597472710,1568
93,597472924,597474490,1566
94,597474708,597476274,1566
95,597476488,597478064,1576
96,597478278,597479851,1573
97,597480066,597481641,1575
98,597481855,597483430,1575
99,597483648,597485220,1572
100,597485436,597487016,1580
101,597487264,597488837,1573
102,597489068,597490637,1569
103,597490856,597492427,1571
104,597492642,597494209,1567
105,597494427,597495997,1570
106,597496217,597497784,1567
107,597497999,597499570,1571
108,597499788,597501360,1572
109,597501579,597503145,1566
110,597503363,597504936,1573
111,597505155,597506723,1568
112,597506943,597508510,1567
113,597508728,597510296,1568
114,597510514,597512091,1577
115,597512308,597513885,1577
116,597514105,597515678,1573
117,597515897,597517466,1569
118,597517684,597519257,1573
119,597519475,597521048,1573
120,597521265,597522837,1572
121,597523070,597527130,4060
122,597527387,597528968,1581
123,597529198,597530769,1571
124,597530986,597532559,1573
125,597532777,597534350,1573
126,597534566,597536136,1570
127,597536353,597537925,1572
128,597538142,597539723,1581
129,597539945,597541523,1578
130,597541740,597543315,1575
131,597543535,597545113,1578
132,597545329,597546921,1592
133,597547139,597548708,1569
134,597548928,597550504,1576
135,597550721,597552298,1577
136,597552515,597554086,1571
137,597554305,597555868,1563
138,597556087,597557656,1569
139,597557875,597559438,1563
140,597559656,597561217,1561
141,597561436,597563005,1569
142,597563221,597564792,1571
143,597565013,597566580,1567
144,597566798,597568370,1572
145,597586410,597588305,1895
146,597588552,597590132,1580
147,597590349,597591924,1575
148,597592139,597593709,1570
149,597593925,597595493,1568
150,597595710,597597274,1564
151,597597490,597599055,1565
152,597599274,597600844,1570
153,597601061,597602632,1571
154,597602854,597604427,1573
155,597604649,597606218,1569
156,597606437,597608009,1572
157,597608226,597609806,1580
