iteration,before,after,diff
0,582863857,582868394,4537
1,582879955,582881022,1067
2,582881380,582882443,1063
3,582882672,582883733,1061
4,582883948,582885006,1058
5,582885222,582886282,1060
6,582886497,582887562,1065
7,582887775,582888839,1064
8,582889055,582890114,1059
9,582890328,582891394,1066
10,582891608,582892668,1060
11,582892921,582893984,1063
12,582894199,582895258,1059
13,582895476,582896534,1058
14,582896749,582897809,1060
15,582898023,582899083,1060
16,582899298,582900357,1059
17,582900573,582901632,1059
18,582901848,582902903,1055
19,582903118,582904171,1053
20,582904386,582905443,1057
21,582905656,582906714,1058
22,582906929,582907985,1056
23,582908201,582909260,1059
24,582909475,582910532,1057
25,582910747,582911804,1057
26,582912019,582913078,1059
27,582913293,582914352,1059
28,582914566,582915625,1059
29,582915840,582916898,1058
30,582917113,582918175,1062
31,582918391,582919448,1057
32,582919664,582920727,1063
33,582920943,582922008,1065
34,582922223,582923285,1062
35,582923501,582924561,1060
36,582924778,582925842,1064
37,582926057,582927114,1057
38,582927330,582928395,1065
39,582928611,582929669,1058
40,582929884,582930940,1056
41,582931157,582932215,1058
42,582932430,582933486,1056
43,582933704,582934761,1057
44,582934976,582936032,1056
45,582936245,582937307,1062
46,582937520,582938581,1061
47,582938795,582939852,1057
48,582940066,582941123,1057
49,582941339,582942395,1056
50,582942613,582943669,1056
51,582943886,582944946,1060
52,582945162,582946219,1057
53,582946433,582947496,1063
54,582947711,582948771,1060
55,582948989,582950047,1058
56,582950261,582951323,1062
57,582951538,582952602,1064
58,582952818,582953877,1059
59,582954093,582955157,1064
60,582955372,582956431,1059
61,582956647,582957707,1060
62,582957925,582958989,1064
63,582978697,582980428,1731
64,582980684,582981743,1059
65,582981959,582983018,1059
66,582983235,582984299,1064
67,582984514,582985574,1060
68,582985791,582986849,1058
69,582987066,582988129,1063
70,582988344,582989405,1061
71,582989623,583020692,31069
72,583021780,583023992,2212
73,583024261,583025319,1058
74,583025535,583026598,1063
75,583026813,583027867,1054
76,583028087,583029147,1060
77,583029361,583030420,1059
78,583030635,583031693,1058
79,583031909,583032967,1058
80,583033183,583034248,1065
81,583034461,583035520,1059
82,583035735,583036795,1060
83,583037009,583038070,1061
84,583038285,583039346,1061
85,583039561,583040615,1054
86,583040829,583041889,1060
87,583042105,583043166,1061
88,583043380,583044438,1058
89,583044654,583045715,1061
90,583045931,583046994,1063
91,583047209,583048265,1056
92,583048481,583049541,1060
93,583049757,583050822,1065
94,583051037,583052094,1057
95,583052311,583053367,1056
96,583053584,583054644,1060
97,583054860,583055915,1055
98,583056134,583057190,1056
99,583057404,583058463,1059
100,583058679,583059734,1055
101,583059967,583061023,1056
102,583061238,583062302,1064
103,583062517,583063573,1056
104,583063789,583064843,1054
105,583065060,583066123,1063
106,583066341,583067396,1055
107,583067614,583068673,1059
108,583068890,583069947,1057
109,583070163,583071224,1061
110,583071439,583072495,1056
111,583072713,583073768,1055
112,583073984,583075046,1062
113,583075261,583076318,1057
114,583076534,583077591,1057
115,583077808,583078866,1058
116,583079084,583080142,1058
117,583080357,583081424,1067
118,583081641,583082698,1057
119,583082916,583083975,1059
120,583084192,583085252,1060
121,583085560,583086645,1085
122,583086862,583087923,1061
123,583088140,583089201,1061
124,583089417,583090472,1055
125,583090688,583091749,1061
126,583091966,583093020,1054
127,583093236,583094297,1061
128,583094513,583095563,1050
129,583095781,583096835,1054
130,583097051,583098109,1058
131,583098326,583099381,1055
132,583099623,583100678,1055
133,583100894,583101956,1062
134,583102172,583103232,1060
135,583103451,583104507,1056
136,583104723,583105780,1057
137,583105998,583107056,1058
138,583107274,583108331,1057
139,583108549,583109607,1058
140,583109823,583110885,1062
141,583111102,583112160,1058
142,583112378,583113439,1061
143,583113655,583114714,1059
144,583114931,583115992,1061
145,583134074,583135209,1135
146,583135447,583136507,1060
147,583136725,583137783,1058
148,583137999,583139058,1059
149,583139273,583140336,1063
150,583140553,583141611,1058
151,583141829,583142889,1060
152,583143106,583144167,1061
153,583144386,583145446,1060
154,583145663,583146726,1063
155,583146945,583148004,1059
156,583148222,583149284,1062
157,583149503,583150566,1063
158,583150785,583151843,1058
159,583152060,583153122,1062
160,583153341,583154397,1056
161,583154613,583155669,1056
162,583155887,583156942,1055
163,583157158,583158213,1055
164,583158430,583159485,1055
165,583159701,583160759,1058
166,583160980,583162038,1058
167,583162257,583163311,1054
168,583163527,583164581,1054
169,583164799,583165857,1058
170,583166076,583167139,1063
171,583167355,583168414,1059
172,583168630,583169691,1061
173,583169909,583170968,1059
174,583171184,583172241,1057
175,583172461,583173525,1064
176,583173743,583174800,1057
177,583175017,583176077,1060
178,583176294,583177355,1061
179,583177571,583178631,1060
180,583178849,583179906,1057
181,583180123,583181181,1058
