iteration,before,after,diff
0,601888393,601892163,3770
1,601907237,601908588,1351
2,601909145,601910436,1291
3,601912923,601914205,1282
4,601914901,601916170,1269
5,601916968,601920242,3274
6,601920997,601922283,1286
7,601922780,601924638,1858
8,601925101,601926281,1180
9,601926713,601927984,1271
10,601928374,601929619,1245
11,601930038,601933327,3289
12,601934070,601935328,1258
13,601935705,601936911,1206
14,601937335,601938814,1479
15,601939346,601940614,1268
16,601958106,601960246,2140
17,601960818,601962148,1330
18,601962603,601963792,1189
19,601964260,601965466,1206
20,601965895,601967143,1248
21,601967613,601969002,1389
22,601969460,601970689,1229
23,601971167,601972361,1194
24,601972817,601974265,1448
25,601974771,601976152,1381
26,601976647,601981720,5073
27,601982214,601983785,1571
28,601984219,601985512,1293
29,601985922,601988820,2898
30,601989300,601990493,1193
31,601990956,601992143,1187
32,601992541,601994038,1497
33,601994535,601996222,1687
34,601996729,601997947,1218
35,601998417,601999816,1399
36,602000298,602001497,1199
37,602001961,602003203,1242
38,602003679,602004894,1215
39,602005367,602006570,1203
40,602007031,602008233,1202
41,602008709,602009936,1227
42,602010388,602011584,1196
43,602012093,602013299,1206
44,602013769,602014971,1202
45,602015459,602016652,1193
46,602017133,602018331,1198
47,602018821,602020004,1183
48,602020480,602021678,1198
49,602022134,602023335,1201
50,602023799,602025002,1203
51,602025466,602026663,1197
52,602027160,602028377,1217
53,602028859,602030075,1216
54,602030535,602031752,1217
55,602032215,602033435,1220
56,602033916,602035381,1465
57,602036040,602037294,1254
58,602037997,602039255,1258
59,602040031,602041247,1216
60,602042018,602043373,1355
61,602044187,602045576,1389
62,602046389,602047628,1239
63,602048416,602049606,1190
64,602050425,602051639,1214
65,602052436,602053736,1300
66,602054551,602055771,1220
67,602056560,602057812,1252
68,602058616,602060180,1564
69,602060983,602062172,1189
70,602062983,602064187,1204
71,602065003,602066309,1306
72,602067096,602068587,1491
73,602069440,602070675,1235
74,602071515,602072845,1330
75,602073639,602074906,1267
76,602075673,602076900,1227
77,602077724,602079006,1282
78,602079813,602081076,1263
79,602081872,602083159,1287
80,602083993,602085203,1210
81,602086013,602087213,1200
82,602088056,602089291,1235
83,602090102,602091770,1668
84,602092159,602093564,1405
85,602094265,602095642,1377
86,602096208,602097687,1479
87,602098396,602100006,1610
88,602100583,602102320,1737
89,602102896,602104221,1325
90,602104745,602106449,1704
91,602106938,602108216,1278
92,602108725,602110227,1502
93,602110634,602111848,1214
94,602112216,602113425,1209
95,602113876,602115063,1187
96,602115647,602116905,1258
97,602117625,602118834,1209
98,602119317,602120845,1528
99,602121555,602122937,1382
100,602123522,602125241,1719
101,602125760,602127015,1255
102,602127659,602128899,1240
103,602129540,602131235,1695
104,602131669,602133008,1339
105,602133666,602134939,1273
106,602135702,602137166,1464
107,602137578,602138779,1201
108,602139249,602140441,1192
109,602140875,602142283,1408
110,602142623,602143875,1252
111,602144331,602145561,1230
112,602146012,602147524,1512
113,602148318,602149528,1210
114,602149952,602151576,1624
115,602152022,602153217,1195
116,602153691,602155149,1458
117,602155632,602156979,1347
118,602157426,602158630,1204
119,602159113,602160296,1183
120,602160749,602161944,1195
121,602162597,602163843,1246
122,602164335,602165539,1204
123,602166055,602167258,1203
124,602167758,602168945,1187
125,602169448,602170719,1271
126,602171219,602172471,1252
127,602172948,602174140,1192
128,602174546,602175751,1205
129,602176244,602177602,1358
130,602178066,602179286,1220
131,602179793,602181003,1210
132,602181496,602182743,1247
133,602183236,602184446,1210
134,602184932,602186387,1455
135,602186867,602188079,1212
136,602188596,602189792,1196
137,602190263,602191462,1199
138,602191929,602193102,1173
139,602193481,602194680,1199
140,602195179,602196400,1221
141,602196888,602198107,1219
142,602198588,602199789,1201
143,602200290,602201489,1199
144,602201963,602203164,1201
145,602227417,602228697,1280
146,602229510,602230873,1363
147,602231704,602233140,1436
148,602233931,602235142,1211
149,602235932,602237188,1256
150,602237996,602239206,1210
151,602240039,602241318,1279
152,602242113,602243380,1267
153,602244173,602245381,1208
154,602246233,602247467,1234
155,602248281,602249503,1222
156,602250345,602251620,1275
157,602252457,602253728,1271
158,602254520,602255716,1196
159,602256527,602257857,1330
160,602258648,602259870,1222
161,602260657,602261873,1216
162,602262712,602263963,1251
163,602264777,602266007,1230
164,602266819,602268083,1264
165,602268919,602270398,1479
166,602271175,602272607,1432
167,602273279,602274716,1437
168,602275376,602277153,1777
169,602277782,602279567,1785
170,602279941,602281256,1315
171,602281817,602283395,1578
172,602283906,602285163,1257
173,602285799,602287404,1605
174,602287867,602289163,1296
175,602289573,602290748,1175
176,602291135,602292592,1457
177,602293266,602294773,1507
178,602295248,602296448,1200
179,602296794,602298916,2122
180,602299266,602301503,2237
181,602302108,602303769,1661
182,602304268,602305494,1226
183,602306047,602307837,1790
184,602308338,602309733,1395
185,602310302,602311849,1547
186,602312465,602313705,1240
187,602314518,602315711,1193
188,602316112,602317305,1193
189,602317773,602319114,1341
190,602319504,602321263,1759
191,602321649,602322845,1196
192,602323233,602324555,1322
193,602324951,602326139,1188
194,602326560,602327787,1227
195,602328216,602329428,1212
196,602329857,602331045,1188
197,602331514,602332710,1196
198,602333186,602334457,1271
199,602334965,602336202,1237
200,602336645,602337866,1221
201,602338375,602339578,1203
202,602340062,602341275,1213
203,602341748,602342992,1244
204,602343458,602344679,1221
205,602345197,602346395,1198
206,602346871,602348061,1190
207,602348441,602349633,1192
208,602350070,602351282,1212
209,602351759,602352980,1221
210,602353474,602354782,1308
211,602355253,602356483,1230
212,602356990,602358197,1207
213,602358710,602359917,1207
214,602360396,602361616,1220
215,602362107,602363304,1197
216,602363777,602364962,1185
217,602365446,602366657,1211
218,602367079,602384435,17356
219,602384990,602386181,1191
220,602386645,602387847,1202
221,602388328,602389531,1203
222,602390006,602391203,1197
223,602391673,602392878,1205
224,602393369,602394558,1189
225,602395045,602396228,1183
226,602396708,602397903,1195
227,602398396,602399580,1184
228,602400074,602401253,1179
229,602401733,602402953,1220
230,602403445,602404630,1185
231,602405055,602406468,1413
232,602407109,602408344,1235
233,602408985,602410267,1282
234,602410889,602412265,1376
235,602412947,602414193,1246
236,602414828,602416050,1222
237,602416659,602417880,1221
238,602418465,602419699,1234
239,602420323,602421543,1220
240,602422176,602423401,1225
241,602424017,602425282,1265
242,602425928,602427153,1225
243,602427898,602429122,1224
244,602429854,602431105,1251
245,602431837,602433047,1210
246,602433793,602435004,1211
247,602435757,602436948,1191
248,602437681,602438987,1306
249,602439735,602440940,1205
250,602441687,602443106,1419
251,602443866,602445086,1220
252,602445839,602447053,1214
253,602447808,602449427,1619
254,602449824,602451322,1498
255,602452013,602453473,1460
256,602454124,602455700,1576
257,602456260,602457543,1283
258,602458066,602459712,1646
259,602460070,602461374,1304
260,602461954,602463542,1588
261,602464042,602465261,1219
262,602465897,602467317,1420
263,602467801,602468987,1186
264,602469411,602470603,1192
265,602471005,602472459,1454
266,602473098,602474649,1551
267,602475078,602476269,1191
268,602476690,602478049,1359
269,602478769,602480111,1342
270,602480734,602482314,1580
271,602482841,602484093,1252
272,602484701,602485983,1282
273,602486672,602488145,1473
274,602488796,602490041,1245
275,602490670,602492155,1485
276,602492560,602493833,1273
277,602494277,602495553,1276
278,602495915,602497146,1231
279,602497576,602498752,1176
280,602499357,602500998,1641
281,602501355,602502622,1267
282,602503042,602504234,1192
283,602504705,602506258,1553
284,602506677,602508089,1412
285,602508550,602509748,1198
286,602528941,602530385,1444
287,602530864,602532518,1654
288,602532986,602534252,1266
289,602534719,602536104,1385
290,602536595,602538047,1452
291,602538544,602539736,1192
292,602540217,602541476,1259
293,602541974,602543158,1184
294,602543620,602544823,1203
295,602545320,602546500,1180
296,602547003,602548196,1193
297,602548707,602549917,1210
298,602550341,602551529,1188
299,602552030,602553213,1183
300,602553674,602554857,1183
301,602555361,602556544,1183
302,602557043,602558237,1194
303,602558714,602559914,1200
304,602560414,602561614,1200
305,602562103,602563297,1194
306,602563810,602565000,1190
307,602565523,602566716,1193
308,602567184,602568389,1205
309,602568872,602570069,1197
310,602570568,602571774,1206
311,602572269,602573449,1180
312,602573945,602575187,1242
313,602575804,602576996,1192
314,602577722,602579154,1432
315,602580052,602581289,1237
316,602581703,602582928,1225
317,602583377,602584629,1252
318,602585093,602586281,1188
319,602586781,602587964,1183
320,602588449,602589671,1222
321,602590141,602591766,1625
322,602592238,602593453,1215
323,602593946,602595224,1278
324,602595697,602596917,1220
325,602597409,602598610,1201
326,602599108,602600312,1204
327,602600817,602602009,1192
328,602602513,602603695,1182
329,602604205,602605400,1195
330,602605884,602607076,1192
331,602607578,602608874,1296
332,602609304,602610506,1202
333,602611006,602612196,1190
334,602612694,602613897,1203
335,602614400,602615595,1195
336,602616092,602617285,1193
337,602617760,602618949,1189
338,602619437,602620631,1194
339,602621142,602622342,1200
340,602622862,602624094,1232
341,602624602,602625796,1194
342,602626292,602627504,1212
343,602628004,602629208,1204
344,602629692,602630882,1190
345,602631390,602632598,1208
346,602633100,602634287,1187
347,602634770,602635978,1208
348,602636465,602637677,1212
349,602638161,602639348,1187
350,602639806,602641259,1453
351,602641876,602643061,1185
352,602643677,602644867,1190
353,602645478,602646706,1228
354,602647351,602648596,1245
355,602649198,602650409,1211
356,602651035,602652223,1188
357,602652823,602654111,1288
358,602654732,602655937,1205
359,602656579,602657777,1198
360,602658398,602659595,1197
361,602660219,602661404,1185
362,602662081,602663292,1211
363,602663957,602665138,1181
364,602665818,602667014,1196
365,602667657,602668850,1193
366,602669479,602670699,1220
367,602671345,602672556,1211
368,602673178,602674395,1217
369,602675020,602676272,1252
370,602676926,602678165,1239
371,602678795,602680001,1206
372,602680673,602681867,1194
373,602682677,602684193,1516
374,602684927,602686332,1405
375,602686854,602688279,1425
376,602688890,602690516,1626
377,602691134,602692941,1807
378,602693300,602694609,1309
379,602695179,602696846,1667
380,602697373,602698619,1246
381,602699128,602700660,1532
382,602701074,602702429,1355
383,602702897,602704117,1220
384,602704510,602705694,1184
385,602706102,602707555,1453
386,602708165,602709657,1492
387,602710124,602711331,1207
388,602711806,602713496,1690
389,602714078,602715244,1166
390,602715861,602717542,1681
391,602718167,602719422,1255
392,602720155,602721324,1169
393,602722058,602723437,1379
394,602723793,602725199,1406
395,602725755,602727451,1696
396,602727857,602729017,1160
397,602729469,602730680,1211
398,602731105,602732345,1240
399,602732849,602734120,1271
400,602734508,602735934,1426
401,602736658,602737804,1146
402,602738199,602739496,1297
403,602739932,602741130,1198
404,602741586,602742945,1359
405,602743373,602744557,1184
406,602745046,602746225,1179
407,602746690,602747898,1208
408,602748387,602749629,1242
409,602750112,602751321,1209
410,602751785,602753010,1225
411,602753533,602754735,1202
412,602755264,602756521,1257
413,602757025,602758270,1245
414,602758766,602759947,1181
415,602760367,602761555,1188
416,602762048,602763236,1188
417,602763739,602764929,1190
418,602765332,602766533,1201
419,602766956,602768163,1207
420,602768673,602769888,1215
421,602770388,602771559,1171
422,602772034,602773229,1195
423,602773708,602774895,1187
424,602775368,602776554,1186
425,602777024,602778234,1210
426,602778705,602779885,1180
427,602789660,602790910,1250
428,602791479,602792676,1197
429,602793184,602794375,1191
430,602794885,602796076,1191
431,602796569,602797776,1207
432,602798238,602799424,1186
433,602799877,602801409,1532
434,602802003,602803216,1213
435,602803856,602805129,1273
436,602805733,602807019,1286
437,602807636,602808834,1198
438,602809449,602811006,1557
439,602811610,602812814,1204
440,602813369,602814565,1196
441,602815161,602816393,1232
442,602817027,602818231,1204
443,602818846,602820081,1235
444,602820718,602821916,1198
445,602822562,602823744,1182
446,602824386,602825701,1315
447,602826368,602827595,1227
448,602828363,602829574,1211
449,602830288,602831483,1195
450,602832203,602833446,1243
451,602834196,602835463,1267
452,602836187,602837404,1217
453,602838164,602839437,1273
454,602840186,602841392,1206
455,602842112,602843319,1207
456,602844006,602845464,1458
457,602846201,602847526,1325
458,602848192,602849584,1392
459,602850274,602853355,3081
460,602854155,602871433,17278
461,602871927,602873091,1164
462,602873536,602874810,1274
463,602875070,602876131,1061
464,602876348,602877943,1595
465,602878347,602879519,1172
466,602879925,602881192,1267
467,602881573,602882891,1318
468,602883290,602886501,3211
469,602887363,602888667,1304
470,602889521,602892675,3154
471,602893400,602894624,1224
472,602895122,602896966,1844
473,602897236,602898303,1067
474,602898701,602900022,1321
475,602900463,602901728,1265
476,602902154,602903392,1238
477,602903819,602907089,3270
478,602908130,602909387,1257
479,602911776,602913213,1437
480,602913892,602915126,1234
481,602915613,602917322,1709
482,602917579,602918711,1132
483,602919035,602920445,1410
484,602920837,602922098,1261
485,602922486,602923717,1231
486,602924135,602927314,3179
487,602944143,602945446,1303
488,602982035,602984587,2552
489,602985196,602986404,1208
490,602986815,602988156,1341
491,602988809,602990163,1354
492,602990879,602993943,3064
493,602994695,602995917,1222
494,602996397,602998210,1813
495,602998476,602999527,1051
496,602999747,603000803,1056
497,603001020,603018671,17651
498,603019090,603020149,1059
499,603020365,603021422,1057
500,603021640,603022695,1055
501,603022911,603023967,1056
502,603024183,603025227,1044
503,603025446,603026498,1052
504,603026714,603043562,16848
505,603043977,603045635,1658
506,603046106,603047362,1256
507,603047735,603048949,1214
508,603049361,603050572,1211
509,603051017,603052305,1288
510,603052758,603053960,1202
511,603054370,603055971,1601
512,603056225,603057283,1058
513,603057502,603058564,1062
514,603058781,603059837,1056
515,603060054,603061189,1135
516,603061511,603078915,17404
517,603079278,603080526,1248
518,603080897,603082150,1253
519,603082625,603083899,1274
520,603084275,603085510,1235
521,603085953,603103580,17627
522,603104057,603105125,1068
523,603105343,603106396,1053
524,603106611,603107667,1056
525,603107882,603108941,1059
526,603109157,603110213,1056
527,603110429,603111487,1058
528,603111705,603112763,1058
529,603112984,603114045,1061
530,603114263,603115394,1131
531,603115716,603117201,1485
532,603117585,603118856,1271
533,603119228,603120474,1246
534,603120901,603122101,1200
535,603122553,603123764,1211
536,603124171,603125771,1600
537,603126027,603127077,1050
538,603127295,603128355,1060
539,603128571,603129627,1056
540,603129844,603130894,1050
541,603131110,603132161,1051
542,603132380,603133436,1056
543,603133654,603134707,1053
544,603134925,603135981,1056
545,603136315,603137374,1059
546,603137593,603138650,1057
547,603138871,603139928,1057
548,603140159,603141216,1057
549,603141436,603142493,1057
550,603142710,603143764,1054
551,603143981,603145042,1061
552,603145261,603146317,1056
553,603146538,603147599,1061
554,603147819,603148874,1055
555,603149090,603150145,1055
556,603150364,603151420,1056
557,603151638,603152695,1057
558,603152916,603153971,1055
559,603154187,603155245,1058
560,603155461,603156514,1053
561,603156731,603157784,1053
562,603158001,603159057,1056
563,603159275,603160332,1057
564,603160557,603161610,1053
565,603161827,603162878,1051
566,603163096,603164147,1051
567,603164365,603165424,1059
568,603243953,603245406,1453
569,603245745,603246810,1065
570,603247029,603248089,1060
571,603248306,603249362,1056
572,603249582,603250638,1056
573,603250854,603251910,1056
574,603252126,603253180,1054
575,603253395,603254446,1051
576,603254666,603255727,1061
577,603255943,603256998,1055
578,603257241,603258293,1052
579,603258509,603259564,1055
580,603259781,603260831,1050
581,603261047,603262098,1051
582,603262315,603263370,1055
583,603263586,603264647,1061
584,603264864,603265924,1060
585,603266145,603267205,1060
586,603267421,603268478,1057
587,603268697,603269757,1060
588,603269976,603271033,1057
589,603271249,603272314,1065
590,603272531,603273589,1058
591,603273807,603274863,1056
592,603275080,603276142,1062
593,603276360,603277418,1058
594,603277636,603278698,1062
595,603278913,603279973,1060
596,603280189,603281243,1054
597,603281459,603282515,1056
598,603282733,603283787,1054
599,603284003,603285056,1053
600,603285273,603286333,1060
601,603286549,603287608,1059
602,603287824,603288878,1054
603,603289096,603290149,1053
604,603290363,603291420,1057
605,603291635,603292687,1052
606,603292903,603293960,1057
607,603294175,603295229,1054
608,603295445,603296503,1058
609,603296720,603297777,1057
610,603297993,603299050,1057
611,603299267,603300328,1061
612,603300545,603301598,1053
613,603301815,603302867,1052
614,603303086,603304143,1057
615,603304361,603305421,1060
616,603305638,603306696,1058
617,603306913,603307971,1058
618,603308189,603309244,1055
619,603309462,603310522,1060
620,603310738,603311795,1057
621,603312012,603313073,1061
622,603313290,603314351,1061
